regime,S,D,best_TM,best_TN,best_median_ms,runner_TM,runner_TN,runner_median_ms,sensitivity_drop_percent
Short S,1024,128,64,128,0.1188800036907196,64,64,0.12425599992275238,4.522203957882661
Mid S,4096,128,64,128,1.015936017036438,64,64,1.1019519567489624,8.466668989986141
Long S,8192,128,64,128,4.065983772277832,64,64,4.39961576461792,8.205443283242168
